~를 설명하다/~의 비율을 차지하다,account for
~를 사과하다,apologize for
~에 지원하다,apply for
~를 승인하다,approve of
~를 부탁하다,ask for
~로 부터 혜택을 보다,benefit from
~를 불평하다,complain about
~를 돌보다,care for
~에 집중하다,concentrate on
~로 구성되다,consist of
~와 경쟁하다,compete with
~에 의지하다,depend on/rely on/count on
~를 다루다/처리하다,deal with
~와 다르다,differ from
~를 버리다,dispose of
~를 실험하다,experiment with
~를 졸업하다,graduate from
~에 반대하다,object to
~에 대답하다,reply to
~에 응답하다/반응하다,respond to
~라는 결과를 낳다,result in
~로 부터 발생하다,result from
~를 찾다,search for
~를 구독하다,subscribe to
~를 동정하다,sympathize with
~로서 역할을 하다,serve/function/act as
~에서 성공하다,succeed in
~로부터 고통받다,suffer from
~에 참여하다,participate/take part in
~를 진행시키다,proceed with
~를 방해하다,interfere with
그녀는 그녀의 집에서 부터 나에게 왔다.,She came from her house to me.
그 회사의 본사는 서울에서 부산으로 이동할 예정이다.,The headquarter of the company will move from Seoul to Pusan.
일기예보는 서울에 내일 비가 내릴 것이라고 말을 했다.,Weather forecast said that it would rain in Seoul tomorrow.
그녀는 갑자기 사라졌었다.,She disappeared suddenly.
모든 사람들은 그들의 사회 속에 존재해야 한다.,All humans should exist in their society.
비극적인 사건이 어제 한국에서 발생 했다.,The tragic event happened in Korea yesterday.
그 정치인은 미디어에 적극적으로 반응을 한다.,The politician responds actively to mass media.
천 만 명 이상의 시민들이 서울에 산다.,More than 10 million people reside in Seoul.
가난한 나라들은 다른 나라들을 원조를 기대는 경향이 있다.,Poor countries tend to depend on aids from other countries.
한국문화는 조선왕조에서 기인하였다.,Korean culture originated from Chosun Dynasty.
사람들의 생각은 한 개인에서 다른 개인에까지 다양하다.,People's thoughts vary from one to another.
정부는 그러한 정책들을 1984년에 승인했었다.,Government approved of those policies in 1984.
나는 캠프릿지 대학에 내년에 지원을 할 예정이다.,I will apply for Cambridge University next year.
많은 사람들이 정부의 복지로부터 혜택을 본다.,A lot of people benefit from social welfare systems of government.
학생들은 공부에 집중을 해야만 한다.,Students should concentrate on their study.
사회는 다양한 사람들로 구성이 되어 있다.,Sociey consists of a variety of people.
지도자는 다양한 갈등들을 다루어야 한다.,A leader should deal with various conflicts.
나는 2005년에 캠브릿지 대학을 졸업했다.,I graduated from Cambridge University in 2005.
나는 너의 계획에 반대하지 않는다.,I don't object to your plan.
그 실험은 긍정적인 결과들을 낳았다.,The experiment resulted in positive results.
긍정적인 결과들이 그 실험으로부터 왔다.,Positive results resulted from the experiment.
나는 그 신문을 정기적으로 구독한다.,I subscribe to the newspaper on a regular basis.
전 세계적으로 많은 사람들이 가난과 질병으로 부터 고통 받는다.,Plenty of people all around the world suffer from poverty and many diseases.
나는 그 대회에 3년 전에 참가 했었다.,I participated in the competition 3 years ago.
정부는 국민들을 위한 리더로서 역할을 해야 한다.,Government should serve as a leader for people.
사람들은 인터넷을 통해서 정보를 찾는 경향이 있다.,People tend to search for information through the Internet.
그것은 나의 공부를 방해한다.,It interferes with my study.
