부족해지다,run short
건조해지다,run dry
격해지다,run high
잠에 빠지다,fall asleep
병들다,fall ill
창백해지다,turn pale
붉어지다,turn red
시어지다,turn sour
추워지다,turn cold
나빠지다/썩다,go bad
미치다,go mad
눈이 멀다,go blind
파산하다,go bankrupt
실현되다,come true
올바르게 되다,come right
느슨해지다,come loose
쉬워지다,come easy
그녀는 그녀의 어머니 때문에 행복했었다.,She was happy because of her mother.
그녀는 영국 캠브릿지 대학의 학생이다.,She is a student in Cambridge University in the U.K.
그녀는 하루 종일 아팠다.,She kept sick all day.
그 회사의 판매는 작년에 변화가 없이 머물러 있었다.,The sales of that company remained unchanged last year.
그는 좋은 선생님이 될 것이다.,He will become a good teacher.
오늘 날씨가 점점 어두워지고 있다.,The weather today is getting dark.
이 회사의 경제적인 상황이 점점 더 악화되고 있다.,The financial status of this company is going bad.
그녀의 얼굴은 추운 날씨 때문에 창백해졌다.,Her face turned pale due to cold weather.
전 세계적으로 신선한 물의 양이 점점 줄어들고 있다.,The amount of fresh water is running short all over the world.
정부의 경제적인 계획은 나쁜 투자인 것으로 판명이 되었다.,The fiscal plan of government has proved to be the bad investment.
그녀의 결혼에 대한 태도는 부정적인 것처럼 보인다.,Her attitude toward marriage seems to be negative.
그는 그의 중요한 프로젝트를 끝냈을 때 매우 지쳐 보였었다.,He looked exhausted when he finished his important project.
나는 오늘 아침 기분이 좋지 못하다.,I don't feel good this morning
내가 어제 산 과일들은 나쁜 냄새가 난다.,The fruits I bought yesterday smell bad.
좋은 약이 입에는 쓰다.,Good medicine tastes bitter to the mouth.
그의 강의들은 아이들에게 교훈적으로 들린다.,His lectures sound instructive for children.
